0,Verre er det med slagsmålene .
0,"Klipperen har overtatt Seagals martial art , og slåssinga er så kjipt og kjapt klippet at filmen antakelig kunne ha inneholdt Titanics undergang uten at du oppdaget det ."
1,Ei finslig dame skal bli med på kjøret og observere oksen i arbeid .
0,"Hvis du vil fremstå som seriøs filmskaper , ikke lag en fire minutters tøysete forfilm om innspillingen full av interne vitser og kjærlige festbilder av gjengen ."
0,Ingenting sier studentfilm som dét .
0,Men utelivsmogul og kulturell altmuligmann Jan Vardøens debutfilm føles uvøren på flere måter .
0,"Dels er « Heart of Lightness » en filmatisering av Henrik Ibsens « Fruen fra havet » , dels en film om den kaotiske innspillingen , der Vardøen , uten å ha lest gjennom skuespillet og tilsynelatende uten planer om å holde seg våken eller edru , sleper åtte britiske skuespillere til Lofoten for å bruke opp støtten han har fått fra Filmfondet ."
0,Halvkokt komedie
0,"Det spørs om ikke sannheten var et litt for svakt utgangspunkt - og at « filmen bak filmen » , som riktignok er fiktiv , tydeligere burde vært konstruert for å belyse Ibsens skuespill , og satt den inn i et samtidig perspektiv , i stedet for å være en halvkokt og umorsom komedie om selvhøytidelige regissører , plagsom midnattssol og veganske skuespillere som helst ikke bør få vite at det er hvalkjøtt de blir servert ."
1,Et snev av relevans finnes i historien om skuespillere som spiller den distanserte og ulykkelige Ellida og hennes frustrerte ektemann Wangel .
1,« Heart of Lightness » bærer i seg kimen til et godt formidlingsprosjekt .
1,"Det er en fin idé å la Ibsens mest mørkt romantiske , nesten gotiske tekst fremføres i det vakre landskapet han la handlingen til ."
0,Prosjektet føles ikke gjennomtenkt eller gjennomført .
0,"Klippingen skaper ikke flyt og musikkvalget , med flere innslag fra Griegs « Peer Gynt » -suite , virker både litt åpenbart og litt malplassert ."
0,Spillet er ujevnt og bærer preg av at skuespillerne har hatt noen som kan samle dem på samme frekvens .
1,Det er aldri kjedelig å se gode replikker fremført i vakre omgivelser .
0,Og den lever ikke opp til råvarene .
1,Andreboka om danske Ravn løftes av skildringer fra Berlin før og etter murens fall .
0,"""Michael Katz Krefeld kan lett beskyldes for å prøve seg på en variant av krimsuksessen Jussi Adler-Olsen og historiene om avdeling Q. Også her har vi en løpende krimhistorie som ikke finner sin løsning i denne boka heller , spørsmålet om hvem som drepte samboeren til Thomas """" Ravn """" Ravnsholdt ."""
0,"""Førsteboka """" Avsporet """" sporet fullstendig av i en seriemorder ført langt ut i parodien ."""
1,""""""" Savnet """" blir en angstbitersk og veldreid liten thriller ."""
0,En tapt time
1,Lostprophets virker som noen ordentlig ålreite karer .
0,Bare synd at musikken de spiller er så ribbet for personlighet .
0,Årets Hovefestival har fått kritikk for fraværet av headlinere man er nødt til å få med seg på årets plakat .
0,"Og kritikken er ikke uten en viss berettigelse – navn som Rise Against og The Shins , som avslutter hver sin dag på festivalens hovedscene , er ikke navn som i seg selv er kapable til å generere Bieber-tilstander i det sørlandske skogholtet ."
0,"På sin ferske plate , Weapons , fremstår de tidvis som selve definisjonen av middelmådighet , med en populistisk mikstur av nu-metal , emorock og punkpop på menyen ."
0,Det låter ikke spesielt fett .
0,"Særlig vokalen er et gigantisk problem , til tross for at ansvaret er delt mellom Ian Watkins og Mike Lewis – det høres veikt og kraftløst ut ; en dødssynd i denne sjangeren ."
