Label,Text
negative,Verre er det med slagsmålene .
negative,"Klipperen har overtatt Seagals martial art , og slåssinga er så kjipt og kjapt klippet at filmen antakelig kunne ha inneholdt Titanics undergang uten at du oppdaget det ."
positive,Ei finslig dame skal bli med på kjøret og observere oksen i arbeid .
negative,"Hvis du vil fremstå som seriøs filmskaper , ikke lag en fire minutters tøysete forfilm om innspillingen full av interne vitser og kjærlige festbilder av gjengen ."
negative,Ingenting sier studentfilm som dét .
negative,Men utelivsmogul og kulturell altmuligmann Jan Vardøens debutfilm føles uvøren på flere måter .
negative,"Dels er « Heart of Lightness » en filmatisering av Henrik Ibsens « Fruen fra havet » , dels en film om den kaotiske innspillingen , der Vardøen , uten å ha lest gjennom skuespillet og tilsynelatende uten planer om å holde seg våken eller edru , sleper åtte britiske skuespillere til Lofoten for å bruke opp støtten han har fått fra Filmfondet ."
negative,Halvkokt komedie
negative,"Det spørs om ikke sannheten var et litt for svakt utgangspunkt - og at « filmen bak filmen » , som riktignok er fiktiv , tydeligere burde vært konstruert for å belyse Ibsens skuespill , og satt den inn i et samtidig perspektiv , i stedet for å være en halvkokt og umorsom komedie om selvhøytidelige regissører , plagsom midnattssol og veganske skuespillere som helst ikke bør få vite at det er hvalkjøtt de blir servert ."
positive,Et snev av relevans finnes i historien om skuespillere som spiller den distanserte og ulykkelige Ellida og hennes frustrerte ektemann Wangel .
positive,« Heart of Lightness » bærer i seg kimen til et godt formidlingsprosjekt .
positive,"Det er en fin idé å la Ibsens mest mørkt romantiske , nesten gotiske tekst fremføres i det vakre landskapet han la handlingen til ."
negative,Prosjektet føles ikke gjennomtenkt eller gjennomført .
negative,"Klippingen skaper ikke flyt og musikkvalget , med flere innslag fra Griegs « Peer Gynt » -suite , virker både litt åpenbart og litt malplassert ."
negative,Spillet er ujevnt og bærer preg av at skuespillerne har hatt noen som kan samle dem på samme frekvens .
positive,Det er aldri kjedelig å se gode replikker fremført i vakre omgivelser .
negative,Og den lever ikke opp til råvarene .
positive,Andreboka om danske Ravn løftes av skildringer fra Berlin før og etter murens fall .
negative,"""Michael Katz Krefeld kan lett beskyldes for å prøve seg på en variant av krimsuksessen Jussi Adler-Olsen og historiene om avdeling Q. Også her har vi en løpende krimhistorie som ikke finner sin løsning i denne boka heller , spørsmålet om hvem som drepte samboeren til Thomas """" Ravn """" Ravnsholdt ."""
negative,"""Førsteboka """" Avsporet """" sporet fullstendig av i en seriemorder ført langt ut i parodien ."""
positive,""""""" Savnet """" blir en angstbitersk og veldreid liten thriller ."""
negative,En tapt time
positive,Lostprophets virker som noen ordentlig ålreite karer .
negative,Bare synd at musikken de spiller er så ribbet for personlighet .
negative,Årets Hovefestival har fått kritikk for fraværet av headlinere man er nødt til å få med seg på årets plakat .
